Data/Hora,ID,X_DH,Y_DH,Z_DH
20:10:32,P_1,-2.08,47.67,95.15
20:10:33,P_2,-0.82,55.76,89.83
20:10:34,P_3,-0.66,60.37,86.58
20:10:35,P_4,-1.15,60.66,87.17
20:10:37,P_5,0.44,57.48,86.35
20:10:38,P_6,-0.3,55.22,87.86
20:10:39,P_7,-1.53,56.22,87.67
20:10:40,P_8,0.53,57.22,89.43
20:10:41,P_9,-2.04,58.68,86.95
20:10:43,P_10,0.07,57.99,87.53
20:10:44,P_11,-0.17,58.79,86.57
20:10:45,P_12,-1.23,58.14,86.65
20:10:46,P_13,-0.5,56.86,86.76
20:10:47,P_14,-1.61,56.45,87.34
20:10:48,P_15,-1.07,55.92,87.65
20:10:49,P_16,-0.71,57.1,87.08
20:10:50,P_17,-1.59,53.71,87.22
20:10:51,P_18,-0.23,52.5,87.28
20:10:52,P_19,-0.92,53.75,85.5
20:10:53,P_20,-0.24,52.44,85.9
20:10:55,P_21,1.05,53.62,85.02
20:10:56,P_22,1.59,53.86,86.02
20:10:57,P_23,-0.13,54.68,85.86
20:10:59,P_24,0.93,53.16,87.57
20:11:00,P_25,1.06,53.63,86.62
20:11:01,P_26,-0.22,52.35,86.41
20:11:02,P_27,1.19,52.68,86.27
20:11:03,P_28,-0.26,53.34,88.37
20:11:04,P_29,-0.11,52.48,89.11
20:11:05,P_30,-0.85,52.42,88.95
20:11:06,P_31,1.02,54.07,87.46
20:11:07,P_32,1.24,54.45,85.93
20:11:08,P_33,0.31,54.3,86.11
20:11:09,P_34,1.36,54.43,87.0
20:11:10,P_35,1.72,54.71,85.86
20:11:11,P_36,1.69,53.65,88.07
20:11:13,P_37,0.08,56.31,85.31
20:11:14,P_38,1.17,54.01,85.28
20:11:15,P_39,0.92,53.18,88.29
20:11:16,P_40,-0.28,54.0,85.08
20:11:17,P_41,-1.11,54.32,85.55
20:11:18,P_42,-1.2,52.7,86.71
20:11:19,P_43,-0.07,53.7,85.76
20:11:20,P_44,-0.64,54.39,85.69
20:11:21,P_45,-0.53,53.33,87.24
20:11:22,P_46,0.23,55.48,86.72
20:11:24,P_47,1.08,54.37,87.85
20:11:25,P_48,0.3,53.83,88.5
20:11:26,P_49,0.89,53.37,89.17
20:11:27,P_50,0.35,56.26,86.08
