Data/Hora,ID,X_DH,Y_DH,Z_DH
20:57:29,P_1,-72.12,2.48,21.95
20:57:31,P_2,-71.3,1.37,21.57
20:57:32,P_3,-71.51,1.41,21.82
20:57:33,P_4,-70.69,1.51,21.89
20:57:34,P_5,-71.64,0.71,21.67
20:57:35,P_6,-71.5,0.97,21.63
20:57:36,P_7,-73.05,1.51,22.78
20:57:37,P_8,-72.3,0.84,22.49
20:57:38,P_9,-71.39,0.79,21.86
20:57:39,P_10,-71.23,1.09,21.56
20:57:40,P_11,-70.69,0.93,21.58
20:57:41,P_12,-71.22,0.61,21.56
20:57:42,P_13,-71.65,1.08,21.45
20:57:43,P_14,-71.53,1.2,22.18
20:57:44,P_15,-71.45,1.52,21.59
20:57:45,P_16,-71.05,0.63,21.33
20:57:46,P_17,-70.96,0.46,21.75
20:57:47,P_18,-70.76,0.9,21.34
20:57:48,P_19,-71.66,0.61,21.59
20:57:50,P_20,-70.61,0.96,21.1
20:57:51,P_21,-71.57,0.31,21.42
20:57:52,P_22,-71.98,0.4,21.65
20:57:53,P_23,-71.07,1.01,21.58
20:57:54,P_24,-71.58,0.9,22.04
20:57:55,P_25,-72.12,0.15,21.81
20:57:56,P_26,-72.17,1.44,22.46
20:57:57,P_27,-70.69,1.81,21.28
20:57:58,P_28,-72.3,0.94,21.57
20:58:00,P_29,-72.23,0.74,21.92
20:58:01,P_30,-70.95,1.2,21.64
20:58:02,P_31,-71.48,0.93,21.31
20:58:03,P_32,-71.74,0.87,21.56
20:58:04,P_33,-72.28,0.06,22.14
20:58:05,P_34,-72.58,0.02,22.57
20:58:06,P_35,-72.64,-0.05,22.81
20:58:07,P_36,-70.9,1.75,21.32
20:58:08,P_37,-72.06,0.9,21.6
20:58:09,P_38,-70.75,1.41,21.71
20:58:10,P_39,-72.7,1.02,22.24
20:58:11,P_40,-71.26,0.76,21.03
20:58:13,P_41,-72.33,1.04,22.36
20:58:14,P_42,-72.43,0.59,21.76
20:58:15,P_43,-70.93,0.74,20.7
20:58:16,P_44,-71.65,0.94,21.52
20:58:17,P_45,-71.0,1.4,21.46
20:58:18,P_46,-72.25,1.1,22.3
20:58:19,P_47,-72.29,0.8,21.67
20:58:20,P_48,-71.85,0.96,22.49
20:58:21,P_49,-72.71,0.87,22.21
20:58:22,P_50,-70.55,1.01,20.55
20:58:23,P_51,-71.57,1.77,22.67
20:58:24,P_52,-71.34,0.64,21.52
20:58:25,P_53,-70.83,1.55,21.48
20:58:26,P_54,-71.35,1.46,21.17
20:58:27,P_55,-72.37,1.43,21.5
20:58:28,P_56,-72.05,1.4,22.36
20:58:29,P_57,-72.69,0.87,22.28
20:58:30,P_58,-70.69,0.63,21.24
20:58:31,P_59,-70.83,0.83,21.6
