Data/Hora,ID,X_DH,Y_DH,Z_DH
21:01:30,P_1,-36.96,-5.72,92.38
21:01:31,P_2,-32.82,-0.98,100.57
21:01:32,P_3,-33.82,-0.18,101.14
21:01:33,P_4,-32.99,-1.21,103.4
21:01:34,P_5,-36.78,1.79,100.66
21:01:35,P_6,-36.62,-0.25,101.93
21:01:36,P_7,-35.7,-1.51,102.3
21:01:37,P_8,-36.34,0.16,100.86
21:01:38,P_9,-36.33,1.11,101.4
21:01:39,P_10,-35.5,0.72,102.03
21:01:40,P_11,-36.38,0.2,102.31
21:01:41,P_12,-37.35,0.69,100.49
21:01:42,P_13,-38.66,-0.11,100.2
21:01:43,P_14,-39.13,1.92,101.7
21:01:44,P_15,-34.54,0.31,102.43
21:01:45,P_16,-30.51,0.15,102.22
21:01:46,P_17,-32.82,-1.36,102.1
21:01:48,P_18,-32.62,0.14,101.89
21:01:49,P_19,-32.87,-0.19,101.44
21:01:50,P_20,-35.95,0.2,100.84
21:01:51,P_21,-31.88,0.33,101.58
21:01:52,P_22,-25.9,-4.13,101.57
21:01:53,P_23,-24.94,-5.91,101.51
21:01:54,P_24,-29.57,-0.37,102.37
21:01:55,P_25,-29.45,-3.33,102.38
21:01:56,P_26,-29.68,-1.93,102.09
21:01:57,P_27,-33.21,-0.2,101.57
21:01:58,P_28,-31.33,-1.8,102.25
21:01:59,P_29,-31.03,-0.34,102.78
21:02:00,P_30,-31.1,-1.93,103.08
21:02:01,P_31,-33.47,1.11,101.87
21:02:03,P_32,-32.37,-1.12,100.79
21:02:04,P_33,-32.99,-0.47,102.88
21:02:05,P_34,-32.94,-1.12,102.6
21:02:06,P_35,-25.59,-5.11,102.13
21:02:07,P_36,-29.13,-3.35,101.75
21:02:08,P_37,-30.47,-1.84,101.66
21:02:09,P_38,-30.57,-1.63,99.97
21:02:10,P_39,-29.58,-2.22,101.73
21:02:11,P_40,-29.49,-1.08,102.92
21:02:12,P_41,-30.23,-4.19,101.76
21:02:13,P_42,-30.44,-2.43,101.46
21:02:14,P_43,-31.39,-1.0,101.38
21:02:15,P_44,-27.93,-1.52,99.71
21:02:16,P_45,-26.87,-4.43,99.26
21:02:17,P_46,-28.71,-3.6,99.79
21:02:18,P_47,-28.23,-3.99,100.88
21:02:19,P_48,-28.12,-3.68,101.78
21:02:21,P_49,-29.29,-2.04,102.13
