Data/Hora,ID,X_DH,Y_DH,Z_DH
20:26:07,P_1,50.47,38.73,82.68
20:26:09,P_2,50.04,38.95,80.36
20:26:10,P_3,47.64,34.27,81.66
20:26:11,P_4,45.66,33.46,83.17
20:26:12,P_5,46.29,34.61,81.89
20:26:13,P_6,45.78,35.69,81.71
20:26:14,P_7,46.02,33.95,82.54
20:26:15,P_8,46.3,34.02,84.41
20:26:16,P_9,46.54,32.67,82.43
20:26:17,P_10,47.63,32.11,81.58
20:26:18,P_11,45.15,35.52,84.22
20:26:19,P_12,47.11,32.53,81.43
20:26:20,P_13,45.68,34.43,81.25
20:26:21,P_14,45.29,35.08,86.1
20:26:22,P_15,47.36,32.96,82.43
20:26:23,P_16,45.94,33.36,81.84
20:26:24,P_17,44.73,33.59,81.98
20:26:25,P_18,45.45,32.07,82.3
20:26:26,P_19,46.21,30.62,82.16
20:26:27,P_20,45.07,32.74,79.33
20:26:28,P_21,46.14,32.17,78.46
20:26:29,P_22,46.76,31.94,81.89
20:26:30,P_23,44.96,32.76,82.33
20:26:32,P_24,45.56,33.52,81.31
20:26:33,P_25,44.53,33.67,81.44
20:26:34,P_26,45.96,33.51,80.92
20:26:35,P_27,46.33,32.11,82.45
20:26:36,P_28,45.73,33.48,81.01
20:26:37,P_29,46.83,33.05,81.22
20:26:38,P_30,45.87,34.48,82.33
20:26:39,P_31,45.08,34.76,84.64
20:26:40,P_32,47.72,32.36,81.31
20:26:41,P_33,45.92,33.76,83.55
20:26:42,P_34,44.78,34.52,82.56
20:26:43,P_35,44.97,34.5,83.26
20:26:45,P_36,45.39,33.75,84.68
20:26:46,P_37,45.05,32.34,82.17
20:26:47,P_38,44.67,31.96,81.61
20:26:48,P_39,44.6,32.46,81.52
20:26:49,P_40,45.06,32.01,82.83
20:26:50,P_41,45.46,31.84,83.21
20:26:51,P_42,46.31,32.86,79.47
20:26:52,P_43,43.98,33.52,81.09
20:26:53,P_44,45.75,31.49,81.67
20:26:54,P_45,45.74,32.0,85.23
20:26:55,P_46,45.44,32.68,82.23
20:26:56,P_47,44.0,33.04,82.8
20:26:57,P_48,45.54,33.67,80.09
20:26:58,P_49,45.3,32.94,84.35
20:27:00,P_50,44.82,34.17,80.84
20:27:01,P_51,43.64,32.28,81.02
20:27:02,P_52,45.62,30.98,81.68
20:27:03,P_53,46.56,32.4,81.35
20:27:04,P_54,45.69,32.84,81.68
20:27:05,P_55,45.26,33.48,82.3
20:27:06,P_56,46.49,33.82,82.35
20:27:07,P_57,46.05,32.84,83.72
20:27:08,P_58,44.52,31.46,82.56
