Data/Hora,ID,X_DH,Y_DH,Z_DH
21:10:08,P_1,64.26,36.01,60.28
21:10:10,P_2,70.78,32.3,61.45
21:10:14,P_3,70.2,33.18,61.31
21:10:15,P_4,70.61,35.74,63.25
21:10:17,P_5,70.67,36.59,63.75
21:10:18,P_6,69.16,33.17,62.24
21:10:19,P_7,70.46,33.42,63.76
21:10:20,P_8,70.04,33.31,62.42
21:10:22,P_9,69.47,34.62,63.19
21:10:23,P_10,69.01,37.7,61.27
21:10:24,P_11,66.81,40.66,60.71
21:10:25,P_12,66.42,42.2,62.72
21:10:27,P_13,68.01,42.07,64.42
21:10:28,P_14,67.99,41.61,64.34
21:10:29,P_15,67.72,41.54,63.3
21:10:30,P_16,67.36,40.11,62.96
21:10:31,P_17,67.33,42.05,63.91
21:10:33,P_18,67.16,41.0,63.14
21:10:35,P_19,68.2,40.66,65.69
21:10:36,P_20,68.33,39.63,65.21
21:10:37,P_21,67.7,39.36,63.61
21:10:39,P_22,66.7,42.6,61.68
21:10:40,P_23,66.66,38.7,61.43
21:10:41,P_24,67.07,39.52,62.08
21:10:42,P_25,66.82,41.25,62.66
21:10:43,P_26,67.47,42.7,62.85
21:10:44,P_27,67.87,42.13,62.23
21:10:45,P_28,64.81,42.49,61.06
21:10:47,P_29,66.4,41.32,60.37
21:10:48,P_30,65.94,41.54,60.42
21:10:49,P_31,65.96,41.08,60.75
21:10:50,P_32,66.79,43.21,63.08
21:10:51,P_33,66.33,44.26,64.29
21:10:52,P_34,64.75,44.65,63.52
21:10:53,P_35,67.44,40.24,61.95
21:10:55,P_36,63.69,44.28,59.83
21:10:56,P_37,65.97,39.12,61.77
21:10:57,P_38,64.34,43.75,62.42
21:10:58,P_39,65.03,43.6,62.68
21:10:59,P_40,66.76,37.82,60.79
21:11:00,P_41,66.79,39.51,60.86
21:11:01,P_42,64.25,42.62,61.48
21:11:02,P_43,64.39,44.59,62.35
21:11:03,P_44,65.45,43.91,61.88
21:11:04,P_45,65.16,42.22,60.34
21:11:05,P_46,64.74,41.9,62.28
21:11:06,P_47,65.64,44.32,62.98
21:11:07,P_48,63.98,45.48,63.35
21:11:09,P_49,65.91,42.55,62.52
21:11:11,P_50,65.03,42.08,60.9
21:11:12,P_51,65.39,42.26,62.06
21:11:13,P_52,67.17,39.85,61.91
21:11:14,P_53,68.13,35.05,60.99
21:11:16,P_54,69.94,35.13,62.65
21:11:17,P_55,68.61,37.32,61.25
21:11:18,P_56,69.27,36.8,63.94
21:11:19,P_57,70.25,34.78,60.46
21:11:20,P_58,69.46,34.94,62.48
21:11:21,P_59,69.66,34.92,60.84
21:11:22,P_60,70.04,34.81,61.19
21:11:23,P_61,68.47,36.92,63.63
21:11:24,P_62,69.15,34.88,59.91
21:11:25,P_63,68.43,35.98,63.33
21:11:26,P_64,68.97,35.09,60.87
21:11:27,P_65,68.74,36.06,63.51
21:11:29,P_66,68.68,36.21,64.06
21:11:30,P_67,69.0,35.75,62.7
21:11:31,P_68,68.85,35.58,62.64
21:11:32,P_69,68.75,35.15,60.59
21:11:33,P_70,69.12,34.86,59.97
