Data/Hora,ID,X_DH,Y_DH,Z_DH
20:53:46,P_1,-54.15,2.03,86.39
20:53:48,P_2,-54.46,-0.87,86.8
20:53:49,P_3,-58.14,-1.82,83.78
20:53:50,P_4,-55.87,-1.69,81.89
20:53:51,P_5,-56.53,-0.66,83.54
20:53:52,P_6,-57.02,-1.23,81.95
20:53:53,P_7,-56.19,-1.36,82.82
20:53:54,P_8,-56.25,-1.98,82.16
20:53:55,P_9,-56.1,-1.73,82.9
20:53:56,P_10,-56.14,-1.86,84.21
20:53:57,P_11,-57.08,0.37,83.64
20:53:58,P_12,-55.36,-1.34,84.27
20:53:59,P_13,-54.44,-2.41,83.24
20:54:01,P_14,-54.63,-2.38,82.62
20:54:02,P_15,-55.09,-2.42,81.74
20:54:03,P_16,-56.08,-1.74,82.29
20:54:04,P_17,-55.44,-1.27,83.22
20:54:05,P_18,-55.5,-2.25,83.15
20:54:06,P_19,-55.69,-2.23,82.52
20:54:08,P_20,-57.25,-1.24,82.28
20:54:09,P_21,-56.02,-0.44,82.78
20:54:10,P_22,-57.91,-0.86,82.14
20:54:12,P_23,-57.36,-1.37,81.79
20:54:13,P_24,-56.6,-2.5,81.16
20:54:14,P_25,-55.58,-1.72,81.7
20:54:15,P_26,-56.95,-0.21,81.59
20:54:16,P_27,-56.86,-1.19,81.08
20:54:17,P_28,-55.11,-0.2,82.95
20:54:18,P_29,-56.99,-0.96,82.0
20:54:19,P_30,-57.41,-0.01,83.25
20:54:21,P_31,-58.97,0.04,82.98
20:54:22,P_32,-56.52,0.46,83.03
20:54:23,P_33,-57.34,2.21,83.1
20:54:24,P_34,-56.55,-0.58,85.28
20:54:26,P_35,-58.41,-0.8,83.73
20:54:28,P_36,-57.38,-0.54,83.84
20:54:29,P_37,-57.33,0.21,83.39
20:54:30,P_38,-58.45,1.6,82.51
20:54:31,P_39,-57.63,0.03,83.67
20:54:32,P_40,-56.04,-1.24,82.0
20:54:33,P_41,-56.12,-1.12,82.19
20:54:34,P_42,-55.99,-2.19,81.03
20:54:35,P_43,-55.44,-1.87,82.1
20:54:36,P_44,-56.17,-0.69,81.85
20:54:38,P_45,-55.55,-0.24,82.72
20:54:39,P_46,-56.02,-1.05,82.1
20:54:40,P_47,-55.86,-1.27,84.27
20:54:41,P_48,-54.08,-2.66,81.61
20:54:42,P_49,-55.75,-0.98,82.58
20:54:43,P_50,-58.97,0.53,83.02
20:54:44,P_51,-57.58,-0.38,82.56
20:54:45,P_52,-57.45,-0.95,82.34
20:54:47,P_53,-57.19,-0.77,81.69
20:54:48,P_54,-57.19,-2.03,82.28
20:54:49,P_55,-56.04,-1.6,83.56
20:54:50,P_56,-55.8,-1.39,83.24
20:54:51,P_57,-56.13,-2.27,82.8
20:54:52,P_58,-56.59,-3.64,82.97
20:54:53,P_59,-55.92,0.47,84.83
20:54:55,P_60,-56.46,0.44,84.86
20:54:56,P_61,-56.76,-0.81,83.79
20:54:57,P_62,-54.6,-0.81,81.94
20:54:58,P_63,-55.59,-2.38,83.34
20:54:59,P_64,-56.45,-2.61,82.58
20:55:00,P_65,-56.48,-3.04,81.6
20:55:01,P_66,-54.3,-1.08,80.77
20:55:02,P_67,-55.04,-2.07,83.09
20:55:03,P_68,-56.19,-2.7,81.86
20:55:04,P_69,-55.9,0.53,80.95
20:55:05,P_70,-59.39,1.14,81.54
20:55:06,P_71,-57.63,0.54,82.5
