Data/Hora,ID,X_DH,Y_DH,Z_DH
20:46:54,P_1,-9.51,-61.57,79.89
20:46:58,P_2,-4.65,-61.01,83.41
20:46:59,P_3,-1.7,-58.08,87.41
20:47:00,P_4,-2.24,-58.85,87.87
20:47:02,P_5,-3.53,-56.47,88.3
20:47:03,P_6,-2.3,-56.22,87.42
20:47:04,P_7,-2.49,-58.2,88.23
20:47:05,P_8,-3.64,-57.88,86.78
20:47:06,P_9,-4.47,-57.05,87.78
20:47:07,P_10,-4.83,-58.05,88.65
20:47:08,P_11,-2.56,-57.27,86.21
20:47:09,P_12,-4.29,-56.96,89.73
20:47:10,P_13,-3.78,-57.85,90.97
20:47:11,P_14,-5.93,-60.55,88.54
20:47:12,P_15,-4.36,-59.75,90.28
20:47:13,P_16,-3.71,-57.32,87.11
20:47:14,P_17,-8.42,-58.55,89.09
20:47:16,P_18,-2.68,-58.93,89.48
20:47:17,P_19,-4.29,-59.5,87.75
20:47:18,P_20,-3.48,-59.07,88.36
20:47:19,P_21,-3.84,-58.42,91.72
20:47:20,P_22,-3.99,-57.36,87.05
20:47:21,P_23,-3.19,-56.84,88.34
20:47:22,P_24,-3.17,-57.12,89.19
20:47:23,P_25,-3.52,-56.7,89.14
20:47:24,P_26,-3.12,-56.98,88.99
20:47:26,P_27,-3.73,-56.82,87.5
20:47:27,P_28,-3.4,-57.25,88.72
20:47:28,P_29,-4.0,-57.08,88.5
20:47:29,P_30,-3.16,-60.05,89.65
20:47:30,P_31,-4.86,-58.9,90.12
20:47:31,P_32,-4.47,-56.66,89.56
20:47:32,P_33,-4.77,-60.55,88.37
20:47:33,P_34,-5.0,-60.19,87.74
20:47:34,P_35,-3.99,-60.55,89.0
20:47:35,P_36,-1.46,-59.09,87.26
20:47:37,P_37,-3.58,-57.73,88.35
20:47:38,P_38,-4.38,-58.76,87.42
20:47:39,P_39,-3.71,-58.03,90.2
20:47:40,P_40,-2.85,-58.66,89.45
20:47:41,P_41,-3.5,-57.76,87.1
20:47:42,P_42,-4.15,-58.0,87.78
20:47:43,P_43,-3.64,-58.98,88.51
20:47:44,P_44,-4.25,-58.48,87.68
20:47:45,P_45,-3.73,-58.26,84.7
20:47:46,P_46,-4.09,-56.43,86.68
20:47:47,P_47,-4.5,-58.94,85.61
