Data/Hora,ID,X_DH,Y_DH,Z_DH
21:14:11,P_1,-18.75,74.39,65.08
21:14:12,P_2,-19.81,71.48,66.97
21:14:14,P_3,-18.75,72.54,67.88
21:14:15,P_4,-19.77,72.21,67.3
21:14:16,P_5,-19.21,70.56,69.26
21:14:17,P_6,-18.79,72.18,67.16
21:14:18,P_7,-18.07,71.09,67.86
21:14:19,P_8,-19.23,70.57,65.75
21:14:22,P_9,-17.68,70.92,68.31
21:14:24,P_10,-17.06,72.47,69.17
21:14:25,P_11,-19.63,70.68,67.25
21:14:26,P_12,-20.71,70.36,69.41
21:14:27,P_13,-19.86,69.58,69.63
21:14:28,P_14,-19.48,72.7,67.92
21:14:29,P_15,-20.1,71.55,66.24
21:14:30,P_16,-19.7,70.86,67.95
21:14:31,P_17,-21.43,69.83,67.56
21:14:32,P_18,-21.09,69.65,70.37
21:14:33,P_19,-20.77,70.35,68.98
21:14:34,P_20,-20.07,71.58,67.14
21:14:35,P_21,-20.33,71.1,69.52
21:14:36,P_22,-19.94,71.57,68.09
21:14:37,P_23,-18.98,71.2,66.7
21:14:38,P_24,-20.39,71.57,67.86
21:14:39,P_25,-19.15,72.17,66.74
21:14:40,P_26,-20.8,70.8,69.16
21:14:41,P_27,-19.43,70.69,68.22
21:14:42,P_28,-20.55,70.99,67.34
21:14:43,P_29,-19.75,71.01,68.07
21:14:45,P_30,-20.26,69.9,67.3
21:14:46,P_31,-18.93,70.46,67.44
21:14:47,P_32,-19.69,70.58,66.7
21:14:48,P_33,-18.76,71.57,69.89
21:14:49,P_34,-19.33,71.88,67.22
21:14:50,P_35,-19.48,71.53,67.7
21:14:51,P_36,-19.22,71.04,67.76
21:14:52,P_37,-19.91,71.37,67.66
21:14:53,P_38,-20.63,71.3,67.33
21:14:54,P_39,-20.87,71.16,67.64
21:14:55,P_40,-20.29,70.42,67.09
21:14:56,P_41,-21.92,69.67,68.71
21:14:57,P_42,-21.27,70.32,68.74
21:14:58,P_43,-20.36,70.4,68.12
21:14:59,P_44,-21.01,71.37,66.73
21:15:00,P_45,-21.08,70.24,67.75
21:15:01,P_46,-20.23,70.41,67.85
21:15:02,P_47,-20.19,70.42,66.66
21:15:03,P_48,-19.91,71.03,67.05
21:15:04,P_49,-19.49,71.67,68.17
21:15:05,P_50,-19.75,72.26,66.35
21:15:06,P_51,-19.31,72.26,67.27
21:15:07,P_52,-20.02,71.64,68.21
21:15:08,P_53,-19.51,72.17,66.39
21:15:09,P_54,-19.13,71.05,67.41
21:15:10,P_55,-19.27,70.26,67.5
21:15:12,P_56,-19.17,70.85,67.51
21:15:13,P_57,-19.02,72.34,66.8
21:15:14,P_58,-18.84,71.67,67.64
21:15:15,P_59,-16.92,71.8,67.08
21:15:16,P_60,-19.24,70.91,68.45
21:15:17,P_61,-18.17,71.75,66.66
21:15:18,P_62,-19.03,71.23,67.53
21:15:19,P_63,-18.32,70.1,67.99
21:15:20,P_64,-18.54,71.92,65.58
21:15:21,P_65,-19.71,70.98,67.84
